Zeit  1 - Langsame Messrate [s]	KMD1 [kN]	Vorne_links-v-control [mm]	Mitte_rechts-v [mm]	Vorne_rechts_v [mm]	Vorne_rechts_h_0_Grad [mm]	Vorne_mitte_h_0_Grad [mm]	Zeit  2 - Langsame Messrate [s]	Vorne_links_h_0_Grad [mm]	Mitte_h_0_Grad_1 [mm]	Mitte_h_0_Grad_2 [mm]	Mitte_h_90_Grad [mm]	Vorne_mitte_h_90_Grad_1 [mm]	Vorne_mitte_h_90_Grad_2 [mm]	Vorne_v_control [mm]	V_Mitte [mm]	Kraftges [kN]	Zeit [s]	Weg_soll []
81,00	2,300	0,01873	0,1699	0,05230	-0,02252	-0,00196	81,00	0,00449	0,00536	-0,09392	0,04205	0,04002	0,06069	0,4126	0,1417	3,246	81,00	1,150	
81,20	2,310	0,01834	0,1708	0,05225	-0,02258	-0,00196	81,20	0,00448	0,00536	-0,09401	0,04229	0,04019	0,06085	0,4136	0,1422	3,260	81,20	1,153	
81,40	2,319	0,01801	0,1713	0,05225	-0,02270	-0,00197	81,40	0,00448	0,00537	-0,09413	0,04259	0,04037	0,06102	0,4145	0,1427	3,272	81,40	1,157	
81,60	2,338	0,01751	0,1719	0,05210	-0,02278	-0,00197	81,60	0,00448	0,00537	-0,09428	0,04295	0,04056	0,06119	0,4154	0,1433	3,298	81,60	1,160	
81,80	2,356	0,01684	0,1728	0,05192	-0,02292	-0,00197	81,80	0,00448	0,00536	-0,09443	0,04345	0,04078	0,06138	0,4164	0,1439	3,322	81,80	1,163	
82,00	2,364	0,01642	0,1738	0,05197	-0,02305	-0,00197	82,00	0,00448	0,00536	-0,09456	0,04415	0,04103	0,06161	0,4176	0,1446	3,333	82,00	1,167	
82,20	2,373	0,01612	0,1749	0,05191	-0,02321	-0,00198	82,20	0,00447	0,00536	-0,09468	0,04500	0,04135	0,06190	0,4189	0,1455	3,345	82,20	1,170	
82,40	2,382	0,01589	0,1759	0,05191	-0,02329	-0,00199	82,40	0,00447	0,00537	-0,09487	0,04584	0,04169	0,06223	0,4203	0,1463	3,357	82,40	1,173	
82,60	2,383	0,01586	0,1769	0,05205	-0,02346	-0,00199	82,60	0,00446	0,00537	-0,09517	0,04651	0,04201	0,06259	0,4214	0,1468	3,359	82,60	1,177	
82,80	2,383	0,01579	0,1777	0,05216	-0,02346	-0,00199	82,80	0,00445	0,00538	-0,09557	0,04699	0,04227	0,06293	0,4224	0,1472	3,359	82,80	1,180	
83,00	2,387	0,01567	0,1781	0,05216	-0,02354	-0,00200	83,00	0,00445	0,00538	-0,09603	0,04734	0,04248	0,06319	0,4233	0,1474	3,364	83,00	1,183	
83,20	2,389	0,01570	0,1782	0,05229	-0,02360	-0,00200	83,20	0,00444	0,00539	-0,09647	0,04759	0,04265	0,06337	0,4239	0,1475	3,367	83,20	1,187	
83,40	2,384	0,01550	0,1783	0,05221	-0,02359	-0,00200	83,40	0,00443	0,00539	-0,09685	0,04778	0,04277	0,06351	0,4245	0,1475	3,360	83,40	1,190	
83,60	2,391	0,01548	0,1785	0,05228	-0,02368	-0,00201	83,60	0,00442	0,00540	-0,09715	0,04792	0,04287	0,06363	0,4251	0,1474	3,369	83,60	1,193	
83,80	2,396	0,01540	0,1786	0,05235	-0,02366	-0,00201	83,80	0,00442	0,00540	-0,09741	0,04803	0,04297	0,06372	0,4256	0,1475	3,376	83,80	1,197	
84,00	2,406	0,01500	0,1787	0,05217	-0,02372	-0,00201	84,00	0,00441	0,00540	-0,09762	0,04812	0,04306	0,06380	0,4261	0,1475	3,390	84,00	1,200	
84,20	2,439	0,01416	0,1791	0,05180	-0,02386	-0,00201	84,20	0,00440	0,00541	-0,09777	0,04822	0,04314	0,06388	0,4266	0,1475	3,435	84,20	1,203	
84,40	2,469	0,01317	0,1795	0,05129	-0,02401	-0,00202	84,40	0,00440	0,00540	-0,09786	0,04834	0,04325	0,06397	0,4275	0,1480	3,475	84,40	1,207	
84,60	2,489	0,01228	0,1801	0,05094	-0,02411	-0,00203	84,60	0,00440	0,00538	-0,09788	0,04871	0,04346	0,06414	0,4289	0,1493	3,502	84,60	1,210	
84,80	2,524	0,01136	0,1826	0,05059	-0,02441	-0,00204	84,80	0,00440	0,00538	-0,09791	0,04981	0,04382	0,06449	0,4306	0,1506	3,549	84,80	1,213	
85,00	2,554	0,01043	0,1859	0,05037	-0,02463	-0,00205	85,00	0,00439	0,00539	-0,09798	0,05164	0,04432	0,06505	0,4326	0,1516	3,590	85,00	1,217	
85,20	2,572	0,00951	0,1886	0,05020	-0,02485	-0,00206	85,20	0,00439	0,00540	-0,09809	0,05351	0,04492	0,06581	0,4349	0,1526	3,615	85,20	1,220	
85,40	2,584	0,00900	0,1903	0,05022	-0,02510	-0,00207	85,40	0,00438	0,00541	-0,09837	0,05500	0,04555	0,06662	0,4374	0,1538	3,630	85,40	1,223	
85,60	2,597	0,00846	0,1915	0,05019	-0,02515	-0,00208	85,60	0,00436	0,00542	-0,09900	0,05610	0,04612	0,06731	0,4396	0,1550	3,647	85,60	1,227	
85,80	2,602	0,00815	0,1926	0,05014	-0,02528	-0,00208	85,80	0,00435	0,00542	-0,09989	0,05691	0,04658	0,06781	0,4416	0,1557	3,655	85,80	1,230	
86,00	2,607	0,00792	0,1933	0,05024	-0,02535	-0,00209	86,00	0,00433	0,00543	-0,1008	0,05753	0,04692	0,06816	0,4432	0,1560	3,661	86,00	1,233	
86,20	2,622	0,00746	0,1942	0,05004	-0,02541	-0,00209	86,20	0,00432	0,00544	-0,1015	0,05801	0,04718	0,06842	0,4445	0,1562	3,681	86,20	1,237	
86,40	2,639	0,00695	0,1950	0,04990	-0,02554	-0,00209	86,40	0,00431	0,00544	-0,1021	0,05844	0,04740	0,06863	0,4457	0,1564	3,704	86,40	1,240	
86,60	2,655	0,00621	0,1967	0,04966	-0,02565	-0,00209	86,60	0,00431	0,00544	-0,1025	0,05889	0,04761	0,06882	0,4469	0,1570	3,725	86,60	1,243	
86,80	2,672	0,00565	0,1987	0,04942	-0,02571	-0,00209	86,80	0,00429	0,00543	-0,1027	0,05948	0,04783	0,06904	0,4483	0,1578	3,748	86,80	1,247	
87,00	2,682	0,00526	0,2006	0,04944	-0,02581	-0,00210	87,00	0,00427	0,00543	-0,1030	0,06030	0,04810	0,06932	0,4497	0,1588	3,762	87,00	1,250	
87,20	2,709	0,00444	0,2017	0,04907	-0,02599	-0,00211	87,20	0,00425	0,00543	-0,1033	0,06123	0,04839	0,06963	0,4511	0,1597	3,798	87,20	1,253	
87,40	2,759	0,00274	0,2029	0,04831	-0,02615	-0,00212	87,40	0,00424	0,00543	-0,1037	0,06216	0,04870	0,06996	0,4525	0,1606	3,867	87,40	1,257	
87,60	2,785	0,00145	0,2055	0,04784	-0,02641	-0,00212	87,60	0,00422	0,00542	-0,1039	0,06351	0,04911	0,07042	0,4543	0,1622	3,900	87,60	1,260	
87,80	2,810	0,00056	0,2077	0,04762	-0,02654	-0,00213	87,80	0,00420	0,00542	-0,1042	0,06573	0,04971	0,07111	0,4567	0,1651	3,935	87,80	1,263	
88,00	2,823	-0,00022	0,2093	0,04745	-0,02673	-0,00215	88,00	0,00419	0,00543	-0,1046	0,06830	0,05040	0,07191	0,4593	0,1680	3,952	88,00	1,267	
88,20	2,845	-0,00075	0,2110	0,04740	-0,02688	-0,00216	88,20	0,00418	0,00544	-0,1053	0,07056	0,05099	0,07263	0,4617	0,1698	3,983	88,20	1,270	
88,40	2,855	-0,00133	0,2124	0,04732	-0,02694	-0,00217	88,40	0,00417	0,00546	-0,1061	0,07224	0,05145	0,07321	0,4638	0,1710	3,995	88,40	1,273	
88,60	2,864	-0,00178	0,2130	0,04713	-0,02704	-0,00218	88,60	0,00416	0,00547	-0,1069	0,07345	0,05181	0,07370	0,4657	0,1718	4,008	88,60	1,277	
88,80	2,870	-0,00202	0,2137	0,04724	-0,02708	-0,00218	88,80	0,00416	0,00547	-0,1075	0,07444	0,05211	0,07412	0,4673	0,1725	4,014	88,80	1,280	
89,00	2,880	-0,00236	0,2140	0,04711	-0,02718	-0,00218	89,00	0,00415	0,00548	-0,1081	0,07523	0,05237	0,07446	0,4688	0,1730	4,028	89,00	1,283	
89,20	2,879	-0,00257	0,2147	0,04714	-0,02721	-0,00218	89,20	0,00414	0,00548	-0,1086	0,07581	0,05259	0,07474	0,4700	0,1733	4,027	89,20	1,287	
89,40	2,884	-0,00261	0,2149	0,04728	-0,02729	-0,00219	89,40	0,00414	0,00549	-0,1091	0,07623	0,05279	0,07497	0,4711	0,1736	4,034	89,40	1,290	
89,60	2,889	-0,00289	0,2151	0,04716	-0,02733	-0,00219	89,60	0,00414	0,00549	-0,1095	0,07651	0,05295	0,07518	0,4721	0,1739	4,041	89,60	1,293	
89,80	2,894	-0,00311	0,2152	0,04709	-0,02735	-0,00220	89,80	0,00414	0,00550	-0,1099	0,07673	0,05308	0,07536	0,4730	0,1740	4,047	89,80	1,297	
90,00	2,895	-0,00330	0,2155	0,04711	-0,02746	-0,00220	90,00	0,00412	0,00550	-0,1102	0,07691	0,05320	0,07553	0,4737	0,1742	4,049	90,00	1,300	
90,20	2,902	-0,00345	0,2159	0,04714	-0,02749	-0,00220	90,20	0,00411	0,00550	-0,1105	0,07707	0,05331	0,07568	0,4745	0,1743	4,058	90,20	1,303	
90,40	2,902	-0,00362	0,2160	0,04714	-0,02756	-0,00220	90,40	0,00410	0,00549	-0,1108	0,07724	0,05341	0,07584	0,4752	0,1744	4,058	90,40	1,307	
90,60	2,905	-0,00365	0,2163	0,04723	-0,02755	-0,00220	90,60	0,00410	0,00550	-0,1110	0,07741	0,05351	0,07601	0,4759	0,1746	4,061	90,60	1,310	
90,80	2,911	-0,00399	0,2166	0,04710	-0,02758	-0,00220	90,80	0,00410	0,00551	-0,1113	0,07757	0,05360	0,07617	0,4764	0,1747	4,070	90,80	1,313	
91,00	2,949	-0,00512	0,2167	0,04647	-0,02768	-0,00221	91,00	0,00409	0,00551	-0,1115	0,07772	0,05368	0,07631	0,4770	0,1749	4,122	91,00	1,317	
91,20	2,985	-0,00617	0,2172	0,04585	-0,02778	-0,00221	91,20	0,00406	0,00551	-0,1116	0,07792	0,05378	0,07645	0,4777	0,1753	4,170	91,20	1,320	
91,40	2,996	-0,00699	0,2177	0,04551	-0,02783	-0,00221	91,40	0,00404	0,00550	-0,1117	0,07844	0,05397	0,07668	0,4787	0,1764	4,185	91,40	1,323	
91,60	3,010	-0,00734	0,2199	0,04550	-0,02787	-0,00222	91,60	0,00401	0,00549	-0,1117	0,07957	0,05427	0,07704	0,4800	0,1777	4,203	91,60	1,327	
91,80	3,020	-0,00773	0,2217	0,04530	-0,02801	-0,00223	91,80	0,00398	0,00549	-0,1118	0,08086	0,05463	0,07745	0,4813	0,1784	4,217	91,80	1,330	
92,00	3,023	-0,00802	0,2232	0,04532	-0,02803	-0,00223	92,00	0,00397	0,00549	-0,1120	0,08186	0,05497	0,07786	0,4826	0,1788	4,221	92,00	1,333	
92,20	3,031	-0,00816	0,2246	0,04536	-0,02817	-0,00224	92,20	0,00395	0,00550	-0,1123	0,08257	0,05524	0,07823	0,4837	0,1791	4,231	92,20	1,337	
92,40	3,031	-0,00835	0,2255	0,04532	-0,02817	-0,00223	92,40	0,00394	0,00550	-0,1127	0,08311	0,05546	0,07854	0,4846	0,1794	4,232	92,40	1,340	
92,60	3,040	-0,00863	0,2258	0,04522	-0,02823	-0,00224	92,60	0,00392	0,00550	-0,1131	0,08356	0,05563	0,07879	0,4855	0,1795	4,244	92,60	1,343	
92,80	3,051	-0,00906	0,2261	0,04505	-0,02831	-0,00225	92,80	0,00391	0,00550	-0,1135	0,08393	0,05578	0,07899	0,4863	0,1797	4,259	92,80	1,347	
93,00	3,064	-0,00942	0,2267	0,04501	-0,02834	-0,00225	93,00	0,00389	0,00551	-0,1138	0,08427	0,05592	0,07917	0,4871	0,1800	4,277	93,00	1,350	
93,20	3,069	-0,00963	0,2276	0,04500	-0,02841	-0,00225	93,20	0,00387	0,00551	-0,1140	0,08463	0,05608	0,07935	0,4878	0,1804	4,283	93,20	1,353	
93,40	3,069	-0,00981	0,2283	0,04506	-0,02841	-0,00225	93,40	0,00386	0,00551	-0,1142	0,08500	0,05625	0,07955	0,4886	0,1808	4,283	93,40	1,357	
93,60	3,087	-0,01018	0,2287	0,04491	-0,02848	-0,00225	93,60	0,00386	0,00551	-0,1145	0,08535	0,05641	0,07976	0,4893	0,1812	4,307	93,60	1,360	
93,80	3,089	-0,01049	0,2294	0,04493	-0,02852	-0,00225	93,80	0,00384	0,00551	-0,1148	0,08567	0,05656	0,07995	0,4900	0,1816	4,310	93,80	1,363	
94,00	3,100	-0,01077	0,2304	0,04483	-0,02863	-0,00226	94,00	0,00383	0,00551	-0,1151	0,08597	0,05670	0,08013	0,4906	0,1819	4,324	94,00	1,367	
94,20	3,113	-0,01135	0,2313	0,04463	-0,02869	-0,00226	94,20	0,00383	0,00551	-0,1154	0,08628	0,05684	0,08032	0,4913	0,1822	4,342	94,20	1,370	
94,40	3,123	-0,01159	0,2321	0,04460	-0,02861	-0,00226	94,40	0,00381	0,00550	-0,1156	0,08663	0,05701	0,08053	0,4919	0,1826	4,356	94,40	1,373	
94,60	3,132	-0,01195	0,2327	0,04448	-0,02879	-0,00226	94,60	0,00379	0,00550	-0,1158	0,08704	0,05719	0,08076	0,4927	0,1830	4,369	94,60	1,377	
94,80	3,145	-0,01244	0,2337	0,04434	-0,02888	-0,00226	94,80	0,00377	0,00550	-0,1160	0,08750	0,05737	0,08101	0,4934	0,1835	4,386	94,80	1,380	
95,00	3,155	-0,01266	0,2347	0,04435	-0,02894	-0,00226	95,00	0,00376	0,00550	-0,1161	0,08796	0,05756	0,08125	0,4941	0,1839	4,400	95,00	1,383	
95,20	3,152	-0,01287	0,2357	0,04433	-0,02895	-0,00227	95,20	0,00374	0,00551	-0,1164	0,08846	0,05774	0,08148	0,4948	0,1842	4,395	95,20	1,387	
95,40	3,159	-0,01308	0,2365	0,04429	-0,02901	-0,00227	95,40	0,00373	0,00551	-0,1166	0,08903	0,05792	0,08171	0,4955	0,1845	4,405	95,40	1,390	
95,60	3,162	-0,01313	0,2370	0,04440	-0,02904	-0,00226	95,60	0,00372	0,00551	-0,1169	0,08959	0,05807	0,08193	0,4961	0,1847	4,408	95,60	1,393	
95,80	3,175	-0,01362	0,2376	0,04417	-0,02913	-0,00226	95,80	0,00371	0,00551	-0,1172	0,09006	0,05821	0,08212	0,4967	0,1849	4,427	95,80	1,397	
96,00	3,176	-0,01379	0,2383	0,04423	-0,02916	-0,00227	96,00	0,00370	0,00551	-0,1175	0,09043	0,05834	0,08231	0,4973	0,1851	4,428	96,00	1,400	
96,20	3,186	-0,01401	0,2390	0,04420	-0,02922	-0,00227	96,20	0,00369	0,00551	-0,1177	0,09075	0,05847	0,08249	0,4979	0,1853	4,441	96,20	1,403	
96,40	3,192	-0,01429	0,2397	0,04412	-0,02926	-0,00227	96,40	0,00368	0,00552	-0,1179	0,09105	0,05862	0,08267	0,4985	0,1855	4,449	96,40	1,407	
96,60	3,199	-0,01449	0,2400	0,04413	-0,02929	-0,00227	96,60	0,00367	0,00552	-0,1181	0,09133	0,05876	0,08285	0,4990	0,1857	4,459	96,60	1,410	
96,80	3,204	-0,01473	0,2405	0,04401	-0,02933	-0,00226	96,80	0,00366	0,00552	-0,1183	0,09158	0,05889	0,08302	0,4996	0,1859	4,465	96,80	1,413	
97,00	3,211	-0,01500	0,2409	0,04401	-0,02936	-0,00227	97,00	0,00365	0,00552	-0,1185	0,09182	0,05901	0,08318	0,5001	0,1861	4,474	97,00	1,417	
97,20	3,218	-0,01532	0,2412	0,04394	-0,02946	-0,00227	97,20	0,00364	0,00552	-0,1187	0,09207	0,05912	0,08333	0,5007	0,1862	4,484	97,20	1,420	
97,40	3,227	-0,01567	0,2416	0,04378	-0,02943	-0,00227	97,40	0,00362	0,00553	-0,1189	0,09234	0,05924	0,08348	0,5012	0,1865	4,496	97,40	1,423	
97,60	3,230	-0,01590	0,2419	0,04375	-0,02946	-0,00227	97,60	0,00361	0,00553	-0,1190	0,09265	0,05936	0,08362	0,5017	0,1868	4,499	97,60	1,427	
97,80	3,249	-0,01634	0,2421	0,04353	-0,02952	-0,00227	97,80	0,00360	0,00553	-0,1192	0,09299	0,05951	0,08377	0,5023	0,1871	4,525	97,80	1,430	
98,00	3,267	-0,01713	0,2424	0,04310	-0,02959	-0,00227	98,00	0,00359	0,00553	-0,1193	0,09338	0,05967	0,08392	0,5028	0,1873	4,549	98,00	1,433	
98,20	3,287	-0,01776	0,2431	0,04284	-0,02956	-0,00228	98,20	0,00356	0,00553	-0,1194	0,09387	0,05987	0,08411	0,5034	0,1876	4,577	98,20	1,437	
98,40	3,301	-0,01819	0,2437	0,04272	-0,02965	-0,00228	98,40	0,00351	0,00554	-0,1195	0,09455	0,06012	0,08440	0,5041	0,1882	4,596	98,40	1,440	
98,60	3,304	-0,01853	0,2444	0,04250	-0,02974	-0,00228	98,60	0,00346	0,00557	-0,1196	0,09534	0,06042	0,08483	0,5048	0,1890	4,600	98,60	1,443	
98,80	3,311	-0,01878	0,2449	0,04251	-0,02976	-0,00228	98,80	0,00344	0,00558	-0,1198	0,09609	0,06071	0,08521	0,5056	0,1897	4,608	98,80	1,447	
99,00	3,313	-0,01894	0,2452	0,04249	-0,02984	-0,00228	99,00	0,00344	0,00557	-0,1200	0,09668	0,06095	0,08545	0,5064	0,1901	4,612	99,00	1,450	
99,20	3,322	-0,01928	0,2455	0,04239	-0,02989	-0,00228	99,20	0,00346	0,00556	-0,1203	0,09711	0,06115	0,08561	0,5072	0,1904	4,624	99,20	1,453	
99,40	3,351	-0,02009	0,2459	0,04194	-0,03000	-0,00228	99,40	0,00346	0,00555	-0,1207	0,09746	0,06133	0,08579	0,5079	0,1906	4,664	99,40	1,457	
99,60	3,399	-0,02170	0,2464	0,04092	-0,03010	-0,00228	99,60	0,00344	0,00554	-0,1209	0,09781	0,06153	0,08603	0,5085	0,1911	4,728	99,60	1,460	
99,80	3,445	-0,02341	0,2478	0,03994	-0,03023	-0,00228	99,80	0,00341	0,00553	-0,1210	0,09847	0,06184	0,08642	0,5092	0,1924	4,791	99,80	1,463	
100,00	3,442	-0,02487	0,2496	0,03917	-0,03037	-0,00229	100,00	0,00336	0,00553	-0,1211	0,09985	0,06240	0,08708	0,5102	0,1943	4,784	100,00	1,467	
100,20	3,461	-0,02616	0,2513	0,03853	-0,03054	-0,00227	100,20	0,00331	0,00553	-0,1212	0,1018	0,06314	0,08799	0,5115	0,1962	4,809	100,20	1,470	
100,40	3,557	-0,02743	0,2535	0,03801	-0,03067	-0,00220	100,40	0,00326	0,00555	-0,1214	0,1038	0,06392	0,08899	0,5132	0,1979	4,941	100,40	1,473	
100,60	3,578	-0,02828	0,2551	0,03768	-0,03081	-0,00219	100,60	0,00323	0,00556	-0,1220	0,1059	0,06464	0,08994	0,5151	0,1996	4,969	100,60	1,477	
100,80	3,600	-0,02922	0,2560	0,03734	-0,03101	-0,00226	100,80	0,00320	0,00557	-0,1228	0,1078	0,06526	0,09077	0,5171	0,2011	4,999	100,80	1,480	
101,00	3,614	-0,02993	0,2572	0,03712	-0,03110	-0,00230	101,00	0,00317	0,00557	-0,1237	0,1094	0,06575	0,09151	0,5191	0,2023	5,018	101,00	1,483	
101,20	3,627	-0,03043	0,2582	0,03699	-0,03128	-0,00231	101,20	0,00315	0,00558	-0,1246	0,1106	0,06615	0,09217	0,5210	0,2034	5,035	101,20	1,487	
101,40	3,636	-0,03094	0,2596	0,03686	-0,03127	-0,00231	101,40	0,00314	0,00558	-0,1255	0,1116	0,06649	0,09271	0,5227	0,2044	5,047	101,40	1,490	
101,60	3,650	-0,03138	0,2603	0,03676	-0,03135	-0,00230	101,60	0,00313	0,00559	-0,1262	0,1127	0,06678	0,09314	0,5242	0,2051	5,066	101,60	1,493	
101,80	3,656	-0,03186	0,2608	0,03656	-0,03140	-0,00230	101,80	0,00311	0,00560	-0,1268	0,1136	0,06703	0,09351	0,5255	0,2057	5,074	101,80	1,497	
102,00	3,666	-0,03228	0,2609	0,03640	-0,03149	-0,00230	102,00	0,00309	0,00560	-0,1273	0,1143	0,06726	0,09383	0,5267	0,2061	5,088	102,00	1,500	
102,20	3,682	-0,03277	0,2611	0,03622	-0,03151	-0,00230	102,20	0,00309	0,00560	-0,1278	0,1149	0,06748	0,09414	0,5277	0,2064	5,109	102,20	1,503	
102,40	3,698	-0,03343	0,2615	0,03584	-0,03156	-0,00230	102,40	0,00308	0,00560	-0,1282	0,1154	0,06772	0,09446	0,5287	0,2066	5,131	102,40	1,507	
102,60	3,720	-0,03425	0,2620	0,03538	-0,03169	-0,00231	102,60	0,00307	0,00560	-0,1286	0,1160	0,06798	0,09480	0,5297	0,2071	5,160	102,60	1,510	
102,80	3,753	-0,03529	0,2625	0,03472	-0,03174	-0,00231	102,80	0,00305	0,00560	-0,1289	0,1165	0,06828	0,09521	0,5306	0,2077	5,205	102,80	1,513	
103,00	3,803	-0,03687	0,2635	0,03356	-0,03187	-0,00231	103,00	0,00304	0,00561	-0,1292	0,1172	0,06864	0,09571	0,5314	0,2086	5,272	103,00	1,517	
103,20	3,850	-0,03875	0,2646	0,03246	-0,03201	-0,00231	103,20	0,00301	0,00561	-0,1294	0,1183	0,06912	0,09638	0,5322	0,2100	5,336	103,20	1,520	
103,40	3,889	-0,04007	0,2662	0,03185	-0,03216	-0,00232	103,40	0,00297	0,00561	-0,1297	0,1204	0,06974	0,09732	0,5331	0,2118	5,388	103,40	1,523	
103,60	3,918	-0,04147	0,2671	0,03109	-0,03230	-0,00232	103,60	0,00294	0,00563	-0,1301	0,1228	0,07045	0,09848	0,5344	0,2140	5,427	103,60	1,527	
103,80	3,991	-0,04397	0,2677	0,02950	-0,03250	-0,00232	103,80	0,00291	0,00564	-0,1309	0,1251	0,07112	0,09964	0,5360	0,2161	5,525	103,80	1,530	
104,00	4,062	-0,04664	0,2690	0,02790	-0,03272	-0,00233	104,00	0,00287	0,00565	-0,1316	0,1272	0,07183	0,1008	0,5376	0,2186	5,621	104,00	1,533	
104,20	4,110	-0,04882	0,2714	0,02676	-0,03289	-0,00235	104,20	0,00283	0,00566	-0,1323	0,1298	0,07270	0,1020	0,5395	0,2218	5,686	104,20	1,537	
104,40	4,151	-0,05079	0,2731	0,02587	-0,03306	-0,00235	104,40	0,00278	0,00568	-0,1332	0,1328	0,07369	0,1034	0,5419	0,2251	5,741	104,40	1,540	
104,60	4,193	-0,05260	0,2741	0,02503	-0,03314	-0,00236	104,60	0,00275	0,00569	-0,1345	0,1354	0,07461	0,1049	0,5445	0,2280	5,797	104,60	1,543	
104,80	4,221	-0,05405	0,2753	0,02440	-0,03321	-0,00237	104,80	0,00272	0,00571	-0,1358	0,1377	0,07537	0,1064	0,5470	0,2308	5,834	104,80	1,547	
105,00	4,238	-0,05493	0,2764	0,02410	-0,03327	-0,00237	105,00	0,00269	0,00573	-0,1370	0,1397	0,07600	0,1078	0,5494	0,2337	5,856	105,00	1,550	
105,20	4,242	-0,05558	0,2774	0,02391	-0,03331	-0,00238	105,20	0,00267	0,00575	-0,1383	0,1413	0,07651	0,1088	0,5516	0,2361	5,861	105,20	1,553	
105,40	4,264	-0,05658	0,2782	0,02338	-0,03339	-0,00237	105,40	0,00266	0,00577	-0,1394	0,1425	0,07691	0,1095	0,5535	0,2378	5,891	105,40	1,557	
105,60	4,308	-0,05811	0,2793	0,02243	-0,03353	-0,00237	105,60	0,00265	0,00578	-0,1404	0,1435	0,07722	0,1099	0,5551	0,2391	5,950	105,60	1,560	
105,80	4,334	-0,05939	0,2806	0,02175	-0,03358	-0,00237	105,80	0,00264	0,00578	-0,1410	0,1445	0,07755	0,1104	0,5564	0,2409	5,985	105,80	1,563	
106,00	4,350	-0,06022	0,2816	0,02146	-0,03363	-0,00238	106,00	0,00263	0,00579	-0,1415	0,1458	0,07795	0,1110	0,5576	0,2433	6,006	106,00	1,567	
106,20	4,356	-0,06072	0,2828	0,02143	-0,03370	-0,00238	106,20	0,00261	0,00580	-0,1421	0,1473	0,07838	0,1118	0,5590	0,2457	6,014	106,20	1,570	
106,40	4,358	-0,06111	0,2833	0,02138	-0,03374	-0,00238	106,40	0,00260	0,00581	-0,1429	0,1486	0,07874	0,1124	0,5604	0,2475	6,016	106,40	1,573	
106,60	4,365	-0,06136	0,2839	0,02136	-0,03376	-0,00238	106,60	0,00259	0,00582	-0,1437	0,1496	0,07901	0,1129	0,5618	0,2484	6,026	106,60	1,577	
106,80	4,364	-0,06160	0,2841	0,02139	-0,03379	-0,00238	106,80	0,00258	0,00584	-0,1444	0,1503	0,07920	0,1133	0,5630	0,2489	6,023	106,80	1,580	
107,00	4,372	-0,06185	0,2844	0,02134	-0,03379	-0,00237	107,00	0,00258	0,00585	-0,1451	0,1508	0,07935	0,1135	0,5641	0,2493	6,035	107,00	1,583	
107,20	4,379	-0,06228	0,2848	0,02111	-0,03386	-0,00237	107,20	0,00257	0,00585	-0,1457	0,1512	0,07947	0,1137	0,5651	0,2497	6,044	107,20	1,587	
107,40	4,392	-0,06281	0,2852	0,02085	-0,03389	-0,00237	107,40	0,00257	0,00585	-0,1461	0,1514	0,07957	0,1138	0,5658	0,2502	6,061	107,40	1,590	
107,60	4,402	-0,06322	0,2855	0,02065	-0,03393	-0,00238	107,60	0,00257	0,00585	-0,1465	0,1517	0,07968	0,1140	0,5664	0,2510	6,074	107,60	1,593	
107,80	4,418	-0,06372	0,2858	0,02040	-0,03397	-0,00238	107,80	0,00257	0,00586	-0,1468	0,1521	0,07981	0,1143	0,5669	0,2518	6,096	107,80	1,597	
108,00	4,432	-0,06443	0,2862	0,01996	-0,03408	-0,00238	108,00	0,00256	0,00586	-0,1470	0,1525	0,07996	0,1145	0,5675	0,2525	6,115	108,00	1,600	
108,20	4,442	-0,06483	0,2866	0,01984	-0,03410	-0,00237	108,20	0,00254	0,00587	-0,1472	0,1529	0,08013	0,1148	0,5680	0,2532	6,129	108,20	1,603	
108,40	4,441	-0,06513	0,2869	0,01983	-0,03416	-0,00237	108,40	0,00253	0,00587	-0,1474	0,1534	0,08033	0,1151	0,5686	0,2541	6,127	108,40	1,607	
108,60	4,444	-0,06534	0,2873	0,01986	-0,03420	-0,00237	108,60	0,00252	0,00587	-0,1478	0,1538	0,08052	0,1154	0,5693	0,2550	6,131	108,60	1,610	
108,80	4,446	-0,06548	0,2876	0,01979	-0,03420	-0,00237	108,80	0,00252	0,00589	-0,1482	0,1542	0,08068	0,1157	0,5700	0,2557	6,133	108,80	1,613	
109,00	4,455	-0,06558	0,2877	0,01975	-0,03413	-0,00237	109,00	0,00252	0,00589	-0,1486	0,1545	0,08081	0,1158	0,5706	0,2562	6,145	109,00	1,617	
109,20	4,447	-0,06567	0,2879	0,01968	-0,03411	-0,00237	109,20	0,00253	0,00590	-0,1489	0,1548	0,08090	0,1159	0,5711	0,2563	6,134	109,20	1,620	
109,40	4,451	-0,06586	0,2881	0,01975	-0,03416	-0,00238	109,40	0,00253	0,00590	-0,1491	0,1549	0,08098	0,1159	0,5715	0,2564	6,139	109,40	1,623	
109,60	4,452	-0,06589	0,2882	0,01982	-0,03418	-0,00237	109,60	0,00252	0,00591	-0,1494	0,1551	0,08104	0,1160	0,5720	0,2565	6,140	109,60	1,627	
109,80	4,451	-0,06595	0,2882	0,01970	-0,03418	-0,00237	109,80	0,00252	0,00591	-0,1497	0,1551	0,08109	0,1160	0,5725	0,2566	6,140	109,80	1,630	
110,00	4,449	-0,06599	0,2884	0,01968	-0,03415	-0,00237	110,00	0,00252	0,00592	-0,1499	0,1552	0,08113	0,1161	0,5729	0,2568	6,136	110,00	1,633	
