Zeit  1 - Langsame Messrate [s]	KMD1 [kN]	Vorne_links-v-control [mm]	Mitte_rechts-v [mm]	Vorne_rechts_v [mm]	Vorne_rechts_h_0_Grad [mm]	Vorne_mitte_h_0_Grad [mm]	Zeit  2 - Langsame Messrate [s]	Vorne_links_h_0_Grad [mm]	Mitte_h_0_Grad_1 [mm]	Mitte_h_0_Grad_2 [mm]	Mitte_h_90_Grad [mm]	Vorne_mitte_h_90_Grad_1 [mm]	Vorne_mitte_h_90_Grad_2 [mm]	Vorne_v_control [mm]	V_Mitte [mm]	Kraftges [kN]	Zeit [s]	Weg_soll []
71,00	0,5368	0,09378	0,1617	0,01402	-0,06657	-0,00481	71,00	-0,04991	-0,04952	0,00060	0,06255	0,02587	0,02956	-0,02239	0,05759	0,8828	71,00	0,9833	
71,20	0,5390	0,09386	0,1617	0,01402	-0,06669	-0,00476	71,20	-0,04994	-0,04953	0,00060	0,06263	0,02589	0,02959	-0,02240	0,05772	0,8860	71,20	0,9867	
71,40	0,5372	0,09390	0,1617	0,01401	-0,06683	-0,00473	71,40	-0,04997	-0,04954	0,00061	0,06270	0,02591	0,02960	-0,02242	0,05789	0,8835	71,40	0,9900	
71,60	0,5448	0,09396	0,1618	0,01401	-0,06691	-0,00476	71,60	-0,05001	-0,04955	0,00062	0,06276	0,02592	0,02962	-0,02243	0,05804	0,8942	71,60	0,9933	
71,80	0,5399	0,09397	0,1619	0,01402	-0,06696	-0,00481	71,80	-0,05004	-0,04956	0,00063	0,06282	0,02593	0,02965	-0,02245	0,05815	0,8873	71,80	0,9967	
72,00	0,5436	0,09406	0,1620	0,01400	-0,06704	-0,00483	72,00	-0,05007	-0,04956	0,00063	0,06287	0,02594	0,02968	-0,02248	0,05827	0,8927	72,00	1,0000	
72,20	0,5494	0,09414	0,1622	0,01398	-0,06718	-0,00483	72,20	-0,05011	-0,04957	0,00064	0,06292	0,02595	0,02971	-0,02254	0,05845	0,9009	72,20	1,003	
72,40	0,5528	0,09427	0,1625	0,01395	-0,06739	-0,00483	72,40	-0,05018	-0,04957	0,00065	0,06296	0,02597	0,02977	-0,02268	0,05879	0,9059	72,40	1,007	
72,60	0,5509	0,09442	0,1628	0,01395	-0,06753	-0,00484	72,60	-0,05031	-0,04958	0,00067	0,06302	0,02602	0,02990	-0,02292	0,05923	0,9034	72,60	1,010	
72,80	0,5605	0,09460	0,1633	0,01396	-0,06770	-0,00484	72,80	-0,05048	-0,04960	0,00069	0,06310	0,02613	0,03011	-0,02318	0,05952	0,9172	72,80	1,013	
73,00	0,5623	0,09476	0,1637	0,01396	-0,06783	-0,00485	73,00	-0,05061	-0,04963	0,00067	0,06328	0,02632	0,03041	-0,02345	0,05971	0,9199	73,00	1,017	
73,20	0,5600	0,09488	0,1639	0,01393	-0,06799	-0,00485	73,20	-0,05072	-0,04966	0,00066	0,06350	0,02652	0,03073	-0,02372	0,05986	0,9168	73,20	1,020	
73,40	0,5744	0,09501	0,1642	0,01394	-0,06816	-0,00485	73,40	-0,05088	-0,04967	0,00067	0,06367	0,02664	0,03092	-0,02392	0,06009	0,9372	73,40	1,023	
73,60	0,5755	0,09524	0,1647	0,01388	-0,06839	-0,00486	73,60	-0,05109	-0,04965	0,00074	0,06380	0,02666	0,03097	-0,02404	0,06053	0,9391	73,60	1,027	
73,80	0,5746	0,09545	0,1652	0,01390	-0,06860	-0,00486	73,80	-0,05133	-0,04964	0,00080	0,06408	0,02669	0,03103	-0,02420	0,06110	0,9380	73,80	1,030	
74,00	0,5837	0,09562	0,1659	0,01385	-0,06885	-0,00487	74,00	-0,05157	-0,04964	0,00084	0,06464	0,02679	0,03120	-0,02444	0,06166	0,9511	74,00	1,033	
74,20	0,5842	0,09585	0,1663	0,01386	-0,06905	-0,00488	74,20	-0,05181	-0,04965	0,00087	0,06539	0,02691	0,03145	-0,02470	0,06227	0,9521	74,20	1,037	
74,40	0,5917	0,09601	0,1669	0,01383	-0,06929	-0,00488	74,40	-0,05205	-0,04966	0,00091	0,06606	0,02702	0,03171	-0,02492	0,06292	0,9628	74,40	1,040	
74,60	0,5950	0,09618	0,1675	0,01383	-0,06950	-0,00489	74,60	-0,05229	-0,04968	0,00094	0,06658	0,02712	0,03193	-0,02512	0,06354	0,9677	74,60	1,043	
74,80	0,5975	0,09639	0,1681	0,01380	-0,06974	-0,00489	74,80	-0,05252	-0,04970	0,00097	0,06701	0,02722	0,03215	-0,02528	0,06403	0,9714	74,80	1,047	
75,00	0,5998	0,09662	0,1690	0,01374	-0,07000	-0,00489	75,00	-0,05276	-0,04971	0,00101	0,06743	0,02731	0,03238	-0,02543	0,06439	0,9750	75,00	1,050	
75,20	0,6141	0,09683	0,1697	0,01370	-0,07032	-0,00489	75,20	-0,05302	-0,04973	0,00105	0,06787	0,02742	0,03265	-0,02564	0,06480	0,9953	75,20	1,053	
75,40	0,6226	0,09711	0,1701	0,01363	-0,07069	-0,00490	75,40	-0,05334	-0,04976	0,00109	0,06833	0,02754	0,03294	-0,02589	0,06546	1,008	75,40	1,057	
75,60	0,6142	0,09734	0,1709	0,01362	-0,07096	-0,00491	75,60	-0,05370	-0,04978	0,00113	0,06886	0,02770	0,03325	-0,02618	0,06616	0,9962	75,60	1,060	
75,80	0,6261	0,09756	0,1716	0,01355	-0,07123	-0,00492	75,80	-0,05405	-0,04981	0,00118	0,06942	0,02788	0,03355	-0,02644	0,06702	1,013	75,80	1,063	
76,00	0,6301	0,09777	0,1723	0,01349	-0,07152	-0,00493	76,00	-0,05435	-0,04985	0,00123	0,06996	0,02805	0,03379	-0,02665	0,06789	1,019	76,00	1,067	
76,20	0,6272	0,09795	0,1734	0,01349	-0,07175	-0,00493	76,20	-0,05461	-0,04989	0,00127	0,07042	0,02821	0,03399	-0,02679	0,06860	1,015	76,20	1,070	
76,40	0,6327	0,09811	0,1743	0,01343	-0,07193	-0,00493	76,40	-0,05485	-0,04994	0,00132	0,07081	0,02836	0,03417	-0,02687	0,06906	1,023	76,40	1,073	
76,60	0,6315	0,09829	0,1746	0,01342	-0,07212	-0,00495	76,60	-0,05504	-0,05000	0,00137	0,07115	0,02848	0,03433	-0,02692	0,06938	1,022	76,60	1,077	
76,80	0,5748	0,09843	0,1750	0,01338	-0,07228	-0,00495	76,80	-0,05521	-0,05006	0,00140	0,07146	0,02858	0,03446	-0,02694	0,06973	0,9425	76,80	1,080	
77,00	0,6356	0,09855	0,1753	0,01335	-0,07241	-0,00495	77,00	-0,05538	-0,05013	0,00144	0,07178	0,02867	0,03457	-0,02697	0,07010	1,028	77,00	1,083	
77,20	0,6402	0,09867	0,1756	0,01330	-0,07258	-0,00495	77,20	-0,05554	-0,05021	0,00147	0,07210	0,02876	0,03467	-0,02700	0,07042	1,034	77,20	1,087	
77,40	0,6409	0,09880	0,1758	0,01327	-0,07272	-0,00496	77,40	-0,05568	-0,05029	0,00150	0,07247	0,02884	0,03478	-0,02704	0,07072	1,036	77,40	1,090	
77,60	0,6448	0,09896	0,1763	0,01324	-0,07290	-0,00496	77,60	-0,05582	-0,05038	0,00152	0,07288	0,02889	0,03489	-0,02711	0,07103	1,041	77,60	1,093	
77,80	0,6446	0,09910	0,1768	0,01320	-0,07307	-0,00496	77,80	-0,05598	-0,05047	0,00155	0,07337	0,02894	0,03501	-0,02721	0,07134	1,041	77,80	1,097	
78,00	0,6491	0,09926	0,1777	0,01317	-0,07328	-0,00498	78,00	-0,05616	-0,05055	0,00158	0,07391	0,02901	0,03514	-0,02734	0,07163	1,048	78,00	1,100	
78,20	0,6556	0,09947	0,1785	0,01314	-0,07347	-0,00498	78,20	-0,05636	-0,05064	0,00161	0,07452	0,02910	0,03528	-0,02748	0,07184	1,057	78,20	1,103	
78,40	0,6546	0,09962	0,1791	0,01312	-0,07360	-0,00498	78,40	-0,05657	-0,05072	0,00164	0,07527	0,02919	0,03545	-0,02763	0,07192	1,056	78,40	1,107	
78,60	0,6571	0,09977	0,1794	0,01305	-0,07378	-0,00498	78,60	-0,05676	-0,05080	0,00167	0,07613	0,02929	0,03561	-0,02776	0,07206	1,060	78,60	1,110	
78,80	0,6589	0,09991	0,1801	0,01306	-0,07401	-0,00499	78,80	-0,05693	-0,05088	0,00170	0,07688	0,02939	0,03576	-0,02786	0,07231	1,062	78,80	1,113	
79,00	0,6577	0,1001	0,1808	0,01305	-0,07415	-0,00499	79,00	-0,05710	-0,05096	0,00173	0,07741	0,02948	0,03590	-0,02797	0,07251	1,061	79,00	1,117	
79,20	0,6683	0,1002	0,1815	0,01299	-0,07436	-0,00499	79,20	-0,05727	-0,05104	0,00176	0,07775	0,02957	0,03605	-0,02806	0,07267	1,076	79,20	1,120	
79,40	0,6770	0,1004	0,1831	0,01291	-0,07469	-0,00499	79,40	-0,05746	-0,05111	0,00179	0,07799	0,02966	0,03621	-0,02819	0,07300	1,088	79,40	1,123	
79,60	0,6832	0,1007	0,1847	0,01291	-0,07511	-0,00500	79,60	-0,05769	-0,05120	0,00182	0,07820	0,02978	0,03644	-0,02846	0,07356	1,098	79,60	1,127	
79,80	0,6964	0,1011	0,1862	0,01278	-0,07572	-0,00501	79,80	-0,05806	-0,05128	0,00187	0,07845	0,02997	0,03683	-0,02893	0,07427	1,117	79,80	1,130	
80,00	0,7041	0,1016	0,1870	0,01269	-0,07641	-0,00502	80,00	-0,05858	-0,05136	0,00194	0,07891	0,03024	0,03734	-0,02956	0,07507	1,128	80,00	1,133	
80,20	0,7123	0,1020	0,1885	0,01261	-0,07708	-0,00504	80,20	-0,05918	-0,05147	0,00203	0,07978	0,03058	0,03793	-0,03024	0,07610	1,140	80,20	1,137	
80,40	0,7154	0,1024	0,1901	0,01259	-0,07773	-0,00505	80,40	-0,05979	-0,05159	0,00214	0,08097	0,03094	0,03851	-0,03082	0,07721	1,145	80,40	1,140	
80,60	0,7227	0,1029	0,1917	0,01258	-0,07835	-0,00505	80,60	-0,06035	-0,05177	0,00225	0,08235	0,03126	0,03902	-0,03124	0,07806	1,156	80,60	1,143	
80,80	0,7304	0,1034	0,1936	0,01258	-0,07896	-0,00502	80,80	-0,06090	-0,05200	0,00233	0,08366	0,03154	0,03945	-0,03154	0,07874	1,167	80,80	1,147	
81,00	0,7366	0,1040	0,1951	0,01261	-0,07956	-0,00498	81,00	-0,06153	-0,05234	0,00241	0,08466	0,03178	0,03986	-0,03175	0,07950	1,177	81,00	1,150	
81,20	0,7382	0,1043	0,1962	0,01260	-0,07999	-0,00494	81,20	-0,06218	-0,05277	0,00248	0,08540	0,03200	0,04028	-0,03184	0,08040	1,180	81,20	1,153	
81,40	0,7421	0,1047	0,1973	0,01262	-0,08040	-0,00491	81,40	-0,06277	-0,05329	0,00253	0,08600	0,03220	0,04065	-0,03184	0,08125	1,185	81,40	1,157	
81,60	0,7494	0,1050	0,1981	0,01262	-0,08076	-0,00489	81,60	-0,06320	-0,05382	0,00258	0,08650	0,03240	0,04096	-0,03181	0,08180	1,196	81,60	1,160	
81,80	0,7459	0,1053	0,1987	0,01266	-0,08109	-0,00489	81,80	-0,06354	-0,05430	0,00263	0,08695	0,03257	0,04121	-0,03178	0,08222	1,192	81,80	1,163	
82,00	0,7512	0,1055	0,1995	0,01266	-0,08137	-0,00488	82,00	-0,06382	-0,05471	0,00266	0,08740	0,03271	0,04142	-0,03176	0,08279	1,199	82,00	1,167	
82,20	0,7530	0,1058	0,2002	0,01266	-0,08170	-0,00487	82,20	-0,06407	-0,05506	0,00268	0,08787	0,03286	0,04161	-0,03178	0,08345	1,202	82,20	1,170	
82,40	0,7616	0,1061	0,2012	0,01264	-0,08208	-0,00487	82,40	-0,06432	-0,05538	0,00271	0,08835	0,03302	0,04181	-0,03186	0,08414	1,215	82,40	1,173	
82,60	0,7649	0,1063	0,2024	0,01260	-0,08247	-0,00488	82,60	-0,06461	-0,05568	0,00274	0,08886	0,03320	0,04207	-0,03203	0,08481	1,220	82,60	1,177	
82,80	0,7691	0,1067	0,2032	0,01262	-0,08287	-0,00488	82,80	-0,06497	-0,05596	0,00278	0,08937	0,03341	0,04241	-0,03228	0,08549	1,226	82,80	1,180	
83,00	0,7710	0,1070	0,2040	0,01262	-0,08324	-0,00488	83,00	-0,06537	-0,05623	0,00281	0,08986	0,03366	0,04278	-0,03258	0,08623	1,229	83,00	1,183	
83,20	0,7806	0,1073	0,2051	0,01258	-0,08366	-0,00488	83,20	-0,06578	-0,05652	0,00284	0,09035	0,03394	0,04314	-0,03289	0,08686	1,243	83,20	1,187	
83,40	0,7842	0,1076	0,2059	0,01257	-0,08404	-0,00489	83,40	-0,06618	-0,05680	0,00288	0,09087	0,03422	0,04348	-0,03319	0,08734	1,248	83,40	1,190	
83,60	0,7886	0,1079	0,2065	0,01259	-0,08443	-0,00489	83,60	-0,06657	-0,05709	0,00291	0,09139	0,03451	0,04378	-0,03348	0,08781	1,255	83,60	1,193	
83,80	0,7878	0,1081	0,2071	0,01257	-0,08478	-0,00489	83,80	-0,06695	-0,05738	0,00294	0,09190	0,03482	0,04405	-0,03376	0,08828	1,254	83,80	1,197	
84,00	0,7983	0,1084	0,2075	0,01255	-0,08507	-0,00489	84,00	-0,06733	-0,05767	0,00296	0,09235	0,03510	0,04431	-0,03399	0,08875	1,269	84,00	1,200	
84,20	0,8031	0,1086	0,2081	0,01256	-0,08543	-0,00489	84,20	-0,06767	-0,05796	0,00298	0,09274	0,03535	0,04453	-0,03416	0,08928	1,277	84,20	1,203	
84,40	0,8117	0,1089	0,2088	0,01252	-0,08588	-0,00489	84,40	-0,06800	-0,05823	0,00300	0,09306	0,03557	0,04474	-0,03436	0,08984	1,289	84,40	1,207	
84,60	0,8150	0,1092	0,2099	0,01250	-0,08628	-0,00490	84,60	-0,06841	-0,05849	0,00302	0,09339	0,03580	0,04500	-0,03467	0,09044	1,294	84,60	1,210	
84,80	0,8228	0,1095	0,2115	0,01252	-0,08668	-0,00490	84,80	-0,06888	-0,05873	0,00304	0,09373	0,03606	0,04533	-0,03505	0,09124	1,305	84,80	1,213	
85,00	0,8246	0,1097	0,2129	0,01247	-0,08715	-0,00490	85,00	-0,06936	-0,05900	0,00306	0,09412	0,03634	0,04566	-0,03542	0,09202	1,308	85,00	1,217	
85,20	0,8365	0,1101	0,2141	0,01247	-0,08754	-0,00490	85,20	-0,06982	-0,05929	0,00308	0,09457	0,03663	0,04601	-0,03578	0,09271	1,325	85,20	1,220	
85,40	0,8349	0,1104	0,2152	0,01246	-0,08791	-0,00490	85,40	-0,07026	-0,05963	0,00311	0,09512	0,03692	0,04636	-0,03609	0,09337	1,323	85,40	1,223	
85,60	0,8389	0,1106	0,2166	0,01242	-0,08833	-0,00490	85,60	-0,07063	-0,06001	0,00314	0,09573	0,03721	0,04669	-0,03636	0,09395	1,329	85,60	1,227	
85,80	0,8387	0,1109	0,2178	0,01241	-0,08871	-0,00490	85,80	-0,07095	-0,06045	0,00316	0,09633	0,03751	0,04696	-0,03656	0,09450	1,329	85,80	1,230	
86,00	0,8487	0,1111	0,2188	0,01237	-0,08904	-0,00490	86,00	-0,07126	-0,06094	0,00318	0,09686	0,03780	0,04720	-0,03671	0,09513	1,344	86,00	1,233	
86,20	0,8543	0,1114	0,2203	0,01234	-0,08951	-0,00490	86,20	-0,07156	-0,06144	0,00319	0,09734	0,03808	0,04743	-0,03684	0,09578	1,352	86,20	1,237	
86,40	0,8703	0,1117	0,2228	0,01226	-0,09011	-0,00490	86,40	-0,07191	-0,06190	0,00321	0,09780	0,03839	0,04770	-0,03706	0,09631	1,375	86,40	1,240	
86,60	0,8789	0,1122	0,2249	0,01216	-0,09080	-0,00491	86,60	-0,07241	-0,06230	0,00322	0,09834	0,03875	0,04811	-0,03750	0,09687	1,388	86,60	1,243	
86,80	0,8997	0,1129	0,2286	0,01200	-0,09180	-0,00491	86,80	-0,07311	-0,06268	0,00324	0,09921	0,03917	0,04870	-0,03818	0,09778	1,418	86,80	1,247	
87,00	0,9264	0,1138	0,2323	0,01177	-0,09305	-0,00492	87,00	-0,07399	-0,06308	0,00327	0,1005	0,03967	0,04948	-0,03908	0,09897	1,456	87,00	1,250	
87,20	0,9454	0,1149	0,2358	0,01157	-0,09445	-0,00493	87,20	-0,07514	-0,06361	0,00330	0,1021	0,04030	0,05048	-0,04020	0,1007	1,484	87,20	1,253	
87,40	0,9547	0,1159	0,2388	0,01142	-0,09573	-0,00494	87,40	-0,07656	-0,06444	0,00334	0,1043	0,04104	0,05164	-0,04136	0,1032	1,499	87,40	1,257	
87,60	0,9627	0,1167	0,2406	0,01134	-0,09666	-0,00494	87,60	-0,07801	-0,06565	0,00340	0,1068	0,04185	0,05277	-0,04227	0,1056	1,511	87,60	1,260	
87,80	0,9714	0,1174	0,2420	0,01127	-0,09749	-0,00494	87,80	-0,07924	-0,06718	0,00347	0,1088	0,04267	0,05371	-0,04286	0,1073	1,524	87,80	1,263	
88,00	0,9794	0,1181	0,2433	0,01128	-0,09816	-0,00493	88,00	-0,08022	-0,06869	0,00352	0,1101	0,04347	0,05446	-0,04322	0,1083	1,536	88,00	1,267	
88,20	0,9851	0,1185	0,2453	0,01126	-0,09869	-0,00492	88,20	-0,08101	-0,06988	0,00355	0,1108	0,04418	0,05509	-0,04350	0,1091	1,545	88,20	1,270	
88,40	0,9847	0,1190	0,2470	0,01124	-0,09929	-0,00492	88,40	-0,08165	-0,07074	0,00356	0,1113	0,04479	0,05562	-0,04375	0,1097	1,545	88,40	1,273	
88,60	0,9960	0,1195	0,2479	0,01124	-0,09986	-0,00492	88,60	-0,08220	-0,07142	0,00357	0,1117	0,04533	0,05606	-0,04401	0,1103	1,562	88,60	1,277	
88,80	0,9987	0,1200	0,2489	0,01123	-0,1003	-0,00492	88,80	-0,08274	-0,07204	0,00357	0,1122	0,04586	0,05647	-0,04432	0,1110	1,566	88,80	1,280	
89,00	1,003	0,1204	0,2503	0,01123	-0,1008	-0,00492	89,00	-0,08326	-0,07260	0,00358	0,1126	0,04637	0,05687	-0,04462	0,1114	1,573	89,00	1,283	
89,20	1,004	0,1208	0,2510	0,01126	-0,1011	-0,00492	89,20	-0,08370	-0,07313	0,00358	0,1132	0,04684	0,05722	-0,04485	0,1118	1,575	89,20	1,287	
89,40	1,003	0,1211	0,2517	0,01128	-0,1014	-0,00492	89,40	-0,08407	-0,07365	0,00358	0,1136	0,04722	0,05750	-0,04500	0,1121	1,574	89,40	1,290	
89,60	1,008	0,1213	0,2523	0,01129	-0,1017	-0,00492	89,60	-0,08441	-0,07413	0,00359	0,1140	0,04751	0,05771	-0,04510	0,1123	1,581	89,60	1,293	
89,80	0,9999	0,1215	0,2528	0,01136	-0,1019	-0,00492	89,80	-0,08470	-0,07456	0,00360	0,1143	0,04776	0,05788	-0,04516	0,1124	1,570	89,80	1,297	
90,00	1,008	0,1217	0,2534	0,01136	-0,1021	-0,00492	90,00	-0,08494	-0,07494	0,00360	0,1146	0,04799	0,05803	-0,04522	0,1125	1,582	90,00	1,300	
90,20	1,014	0,1219	0,2540	0,01139	-0,1023	-0,00492	90,20	-0,08514	-0,07526	0,00360	0,1148	0,04819	0,05816	-0,04528	0,1127	1,590	90,20	1,303	
90,40	1,009	0,1220	0,2548	0,01140	-0,1025	-0,00491	90,40	-0,08534	-0,07553	0,00361	0,1150	0,04838	0,05827	-0,04534	0,1130	1,583	90,40	1,307	
90,60	1,010	0,1222	0,2554	0,01144	-0,1027	-0,00491	90,60	-0,08553	-0,07576	0,00361	0,1152	0,04856	0,05838	-0,04541	0,1133	1,585	90,60	1,310	
90,80	1,012	0,1224	0,2557	0,01145	-0,1029	-0,00491	90,80	-0,08570	-0,07597	0,00361	0,1154	0,04872	0,05848	-0,04548	0,1136	1,588	90,80	1,313	
91,00	1,014	0,1225	0,2561	0,01149	-0,1030	-0,00491	91,00	-0,08586	-0,07618	0,00362	0,1155	0,04886	0,05858	-0,04553	0,1137	1,592	91,00	1,317	
91,20	1,011	0,1226	0,2565	0,01153	-0,1031	-0,00491	91,20	-0,08601	-0,07637	0,00363	0,1156	0,04899	0,05865	-0,04557	0,1138	1,587	91,20	1,320	
91,40	1,014	0,1227	0,2570	0,01155	-0,1033	-0,00491	91,40	-0,08613	-0,07656	0,00363	0,1157	0,04911	0,05871	-0,04559	0,1137	1,591	91,40	1,323	
91,60	1,017	0,1229	0,2573	0,01154	-0,1034	-0,00491	91,60	-0,08624	-0,07674	0,00363	0,1158	0,04921	0,05877	-0,04562	0,1136	1,596	91,60	1,327	
91,80	1,026	0,1230	0,2579	0,01147	-0,1036	-0,00491	91,80	-0,08635	-0,07691	0,00363	0,1159	0,04930	0,05882	-0,04566	0,1137	1,608	91,80	1,330	
92,00	1,032	0,1231	0,2588	0,01135	-0,1040	-0,00492	92,00	-0,08651	-0,07706	0,00363	0,1160	0,04941	0,05891	-0,04585	0,1141	1,617	92,00	1,333	
92,20	1,033	0,1233	0,2596	0,01130	-0,1042	-0,00493	92,20	-0,08681	-0,07720	0,00363	0,1162	0,04959	0,05913	-0,04625	0,1149	1,619	92,20	1,337	
92,40	1,036	0,1235	0,2604	0,01126	-0,1044	-0,00493	92,40	-0,08720	-0,07733	0,00363	0,1165	0,04979	0,05945	-0,04670	0,1157	1,623	92,40	1,340	
92,60	1,046	0,1238	0,2614	0,01122	-0,1046	-0,00493	92,60	-0,08756	-0,07744	0,00364	0,1170	0,04999	0,05976	-0,04708	0,1163	1,637	92,60	1,343	
92,80	1,047	0,1240	0,2626	0,01118	-0,1049	-0,00493	92,80	-0,08786	-0,07755	0,00364	0,1177	0,05018	0,06002	-0,04738	0,1169	1,640	92,80	1,347	
93,00	1,064	0,1243	0,2643	0,01102	-0,1053	-0,00493	93,00	-0,08818	-0,07767	0,00365	0,1185	0,05036	0,06029	-0,04769	0,1175	1,663	93,00	1,350	
93,20	1,067	0,1246	0,2662	0,01092	-0,1057	-0,00493	93,20	-0,08856	-0,07780	0,00365	0,1194	0,05057	0,06066	-0,04814	0,1184	1,669	93,20	1,353	
93,40	1,072	0,1249	0,2681	0,01085	-0,1061	-0,00494	93,40	-0,08907	-0,07794	0,00365	0,1206	0,05079	0,06116	-0,04873	0,1195	1,676	93,40	1,357	
93,60	1,069	0,1253	0,2691	0,01080	-0,1064	-0,00494	93,60	-0,08962	-0,07809	0,00365	0,1221	0,05102	0,06167	-0,04928	0,1205	1,672	93,60	1,360	
93,80	1,075	0,1255	0,2694	0,01086	-0,1066	-0,00494	93,80	-0,09011	-0,07826	0,00366	0,1234	0,05124	0,06207	-0,04964	0,1212	1,681	93,80	1,363	
94,00	1,074	0,1258	0,2697	0,01077	-0,1068	-0,00495	94,00	-0,09048	-0,07848	0,00367	0,1243	0,05143	0,06233	-0,04981	0,1217	1,680	94,00	1,367	
94,20	1,075	0,1260	0,2699	0,01046	-0,1071	-0,00494	94,20	-0,09076	-0,07873	0,00367	0,1248	0,05158	0,06250	-0,04987	0,1220	1,682	94,20	1,370	
94,40	1,085	0,1261	0,2719	0,01074	-0,1074	-0,00494	94,40	-0,09098	-0,07899	0,00368	0,1252	0,05170	0,06263	-0,04993	0,1222	1,695	94,40	1,373	
94,60	1,095	0,1264	0,2719	0,01060	-0,1078	-0,00494	94,60	-0,09126	-0,07924	0,00369	0,1254	0,05184	0,06281	-0,05013	0,1228	1,709	94,60	1,377	
94,80	1,097	0,1266	0,2735	0,01053	-0,1082	-0,00494	94,80	-0,09169	-0,07949	0,00369	0,1257	0,05202	0,06313	-0,05048	0,1237	1,714	94,80	1,380	
95,00	1,102	0,1269	0,2740	0,01048	-0,1085	-0,00494	95,00	-0,09217	-0,07973	0,00369	0,1261	0,05224	0,06351	-0,05087	0,1245	1,721	95,00	1,383	
95,20	1,106	0,1272	0,2747	0,01042	-0,1088	-0,00494	95,20	-0,09263	-0,07997	0,00368	0,1267	0,05247	0,06386	-0,05118	0,1252	1,726	95,20	1,387	
95,40	1,104	0,1274	0,2752	0,01043	-0,1091	-0,00494	95,40	-0,09304	-0,08024	0,00369	0,1272	0,05268	0,06412	-0,05142	0,1258	1,724	95,40	1,390	
95,60	1,114	0,1276	0,2754	0,01045	-0,1093	-0,00494	95,60	-0,09341	-0,08056	0,00370	0,1278	0,05287	0,06432	-0,05157	0,1263	1,739	95,60	1,393	
95,80	1,111	0,1278	0,2757	0,01045	-0,1095	-0,00494	95,80	-0,09376	-0,08093	0,00370	0,1284	0,05303	0,06449	-0,05166	0,1265	1,734	95,80	1,397	
96,00	1,114	0,1280	0,2761	0,01051	-0,1097	-0,00493	96,00	-0,09407	-0,08134	0,00371	0,1289	0,05317	0,06463	-0,05172	0,1268	1,739	96,00	1,400	
96,20	1,111	0,1281	0,2768	0,01056	-0,1099	-0,00493	96,20	-0,09435	-0,08175	0,00371	0,1293	0,05330	0,06475	-0,05175	0,1270	1,734	96,20	1,403	
96,40	1,112	0,1283	0,2769	0,01059	-0,1101	-0,00493	96,40	-0,09460	-0,08214	0,00372	0,1296	0,05342	0,06486	-0,05178	0,1272	1,736	96,40	1,407	
96,60	1,113	0,1284	0,2769	0,01069	-0,1102	-0,00493	96,60	-0,09481	-0,08249	0,00372	0,1298	0,05352	0,06495	-0,05179	0,1273	1,738	96,60	1,410	
96,80	1,110	0,1285	0,2771	0,01071	-0,1103	-0,00493	96,80	-0,09499	-0,08281	0,00373	0,1300	0,05361	0,06504	-0,05178	0,1273	1,734	96,80	1,413	
97,00	1,111	0,1286	0,2773	0,01076	-0,1104	-0,00493	97,00	-0,09514	-0,08311	0,00374	0,1302	0,05368	0,06512	-0,05177	0,1273	1,735	97,00	1,417	
97,20	1,109	0,1287	0,2774	0,01083	-0,1105	-0,00493	97,20	-0,09527	-0,08339	0,00374	0,1303	0,05375	0,06519	-0,05175	0,1272	1,733	97,20	1,420	
97,40	1,112	0,1288	0,2776	0,01088	-0,1106	-0,00493	97,40	-0,09537	-0,08365	0,00375	0,1304	0,05381	0,06524	-0,05172	0,1271	1,738	97,40	1,423	
97,60	1,117	0,1289	0,2779	0,01076	-0,1108	-0,00493	97,60	-0,09547	-0,08390	0,00375	0,1305	0,05386	0,06528	-0,05170	0,1271	1,744	97,60	1,427	
97,80	1,135	0,1290	0,2782	0,01058	-0,1111	-0,00494	97,80	-0,09559	-0,08414	0,00375	0,1306	0,05393	0,06533	-0,05179	0,1274	1,770	97,80	1,430	
98,00	1,147	0,1292	0,2791	0,01032	-0,1115	-0,00494	98,00	-0,09586	-0,08435	0,00375	0,1307	0,05403	0,06550	-0,05211	0,1283	1,787	98,00	1,433	
98,20	1,160	0,1295	0,2800	0,01008	-0,1120	-0,00495	98,20	-0,09636	-0,08452	0,00376	0,1309	0,05421	0,06591	-0,05273	0,1295	1,805	98,20	1,437	
98,40	1,164	0,1299	0,2810	0,01001	-0,1123	-0,00496	98,40	-0,09703	-0,08466	0,00377	0,1314	0,05448	0,06651	-0,05359	0,1310	1,811	98,40	1,440	
98,60	1,168	0,1303	0,2815	0,00996	-0,1127	-0,00496	98,60	-0,09771	-0,08478	0,00378	0,1325	0,05477	0,06706	-0,05435	0,1325	1,818	98,60	1,443	
98,80	1,169	0,1306	0,2824	0,00991	-0,1130	-0,00496	98,80	-0,09832	-0,08493	0,00378	0,1336	0,05504	0,06748	-0,05487	0,1336	1,819	98,80	1,447	
99,00	1,165	0,1308	0,2831	0,00999	-0,1133	-0,00496	99,00	-0,09885	-0,08512	0,00380	0,1345	0,05526	0,06779	-0,05520	0,1343	1,814	99,00	1,450	
99,20	1,173	0,1310	0,2838	0,00987	-0,1136	-0,00497	99,20	-0,09929	-0,08535	0,00381	0,1351	0,05544	0,06804	-0,05541	0,1348	1,825	99,20	1,453	
